class,prop,required,prop_type,xml_name,line
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocation,JurOfOwners,R,EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationJurOfOwners,JurOfOwners,11941
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocation,PayrollCost,R,EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationPayrollCost,PayrollCost,11945
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocation,TangibleAssetValue,R,EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationTangibleAssetValue,TangibleAssetValue,11949
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationJurOfOwners,NotApplicable,O,bool,NotApplicable,11979
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationJurOfOwners,NotApplicableSpecified,O,bool,,11985
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationJurOfOwners,ResCountryCode,O,Globe.CountryCodeType,ResCountryCode,11961
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationJurOfOwners,ResCountryCodeSpecified,O,bool,,11967
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationJurOfOwners,Upe,O,bool,UPE,11970
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationJurOfOwners,UpeSpecified,O,bool,,11976
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationPayrollCost,Allocation,R,string,Allocation,12002
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationPayrollCost,Total,R,string,Total,11998
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationTangibleAssetValue,Allocation,R,string,Allocation,12020
EtrComputationTypeOverallComputationSubstanceExclusionFteAllocationTangibleAssetValue,Total,R,string,Total,12016
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocation,JurOfOwners,R,EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationJurOfOwners,JurOfOwners,11849
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocation,PayrollCost,R,EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationPayrollCost,PayrollCost,11853
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocation,TangibleAssetValue,R,EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationTangibleAssetValue,TangibleAssetValue,11857
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationJurOfOwners,NotApplicable,O,bool,NotApplicable,11887
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationJurOfOwners,NotApplicableSpecified,O,bool,,11893
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationJurOfOwners,ResCountryCode,O,Globe.CountryCodeType,ResCountryCode,11869
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationJurOfOwners,ResCountryCodeSpecified,O,bool,,11875
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationJurOfOwners,Upe,O,bool,UPE,11878
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationJurOfOwners,UpeSpecified,O,bool,,11884
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationPayrollCost,Allocation,R,string,Allocation,11910
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationPayrollCost,Total,R,string,Total,11906
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationTangibleAssetValue,Allocation,R,string,Allocation,11928
EtrComputationTypeOverallComputationSubstanceExclusionPeAllocationTangibleAssetValue,Total,R,string,Total,11924
EtrType,Election,O,EtrTypeElection,Election,9053
EtrType,EtrStatus,R,EtrTypeEtrStatus,ETRStatus,9050
EtrType,SubGroup,O,EtrTypeSubGroup,SubGroup,9046
EtrTypeElection,Art321C,O,EtrTypeElectionArt321C,Art3.2.1.c,12513
EtrTypeElection,Art322,O,EtrTypeElectionArt322,Art3.2.2,12498
EtrTypeElection,Art325,O,EtrTypeElectionArt325,Art3.2.5,12501
EtrTypeElection,Art326,O,bool,Art3.2.6,12462
EtrTypeElection,Art326Specified,O,bool,,12468
EtrTypeElection,Art328,O,EtrTypeElectionArt328,Art3.2.8,12504
EtrTypeElection,Art415,O,bool,Art4.1.5,12471
EtrTypeElection,Art415Specified,O,bool,,12477
EtrTypeElection,Art45,O,EtrTypeElectionArt45,Art4.5,12510
EtrTypeElection,Art461,O,bool,Art4.6.1,12480
EtrTypeElection,Art461Specified,O,bool,,12486
EtrTypeElection,Art531,O,bool,Art5.3.1,12489
EtrTypeElection,Art531Specified,O,bool,,12495
EtrTypeElection,NoDefTaxAllocation,O,EtrTypeElectionNoDefTaxAllocation,NoDefTaxAllocation,12507
EtrTypeElection,SimplifiedReporting,O,bool,SimplifiedReporting,12516
EtrTypeElection,SimplifiedReportingSpecified,O,bool,,12522
EtrTypeElectionArt321C,Additions,R,string,Additions,12705
EtrTypeElectionArt321C,ElectionYear,R,System.DateTime,ElectionYear,12684
EtrTypeElectionArt321C,KEquityInvestmentInclusionElection,R,string,KEquityInvestmentInclusionElection,12697
EtrTypeElectionArt321C,OutstandingBalance,R,string,OutstandingBalance,12713
EtrTypeElectionArt321C,QualOwnerIntentBalance,R,string,QualOwnerIntentBalance,12701
EtrTypeElectionArt321C,Reductions,R,string,Reductions,12709
EtrTypeElectionArt321C,RevocationYear,O,System.DateTime,RevocationYear,12687
EtrTypeElectionArt321C,RevocationYearSpecified,O,bool,,12693
EtrTypeElectionArt321C,Status,R,bool,Status,12680
EtrTypeElectionArt322,ElectionYear,R,System.DateTime,ElectionYear,12539
EtrTypeElectionArt322,RevocationYear,O,System.DateTime,RevocationYear,12542
EtrTypeElectionArt322,RevocationYearSpecified,O,bool,,12548
EtrTypeElectionArt322,Status,R,bool,Status,12535
EtrTypeElectionArt325,ElectionYear,O,System.DateTime,ElectionYear,12564
EtrTypeElectionArt325,ElectionYearSpecified,O,bool,,12570
EtrTypeElectionArt325,RevocationYear,O,System.DateTime,RevocationYear,12573
EtrTypeElectionArt325,RevocationYearSpecified,O,bool,,12579
EtrTypeElectionArt325,Status,R,bool,Status,12561
EtrTypeElectionArt328,ElectionYear,O,System.DateTime,ElectionYear,12595
EtrTypeElectionArt328,ElectionYearSpecified,O,bool,,12601
EtrTypeElectionArt328,RevocationYear,O,System.DateTime,RevocationYear,12604
EtrTypeElectionArt328,RevocationYearSpecified,O,bool,,12610
EtrTypeElectionArt328,Status,R,bool,Status,12592
EtrTypeElectionArt45,ElectionYear,O,System.DateTime,ElectionYear,12652
EtrTypeElectionArt45,ElectionYearSpecified,O,bool,,12658
EtrTypeElectionArt45,RevocationYear,O,System.DateTime,RevocationYear,12661
EtrTypeElectionArt45,RevocationYearSpecified,O,bool,,12667
EtrTypeElectionArt45,Status,R,bool,Status,12649
EtrTypeElectionNoDefTaxAllocation,ElectionYear,R,System.DateTime,ElectionYear,12627
EtrTypeElectionNoDefTaxAllocation,RevocationYear,O,System.DateTime,RevocationYear,12630
EtrTypeElectionNoDefTaxAllocation,RevocationYearSpecified,O,bool,,12636
EtrTypeElectionNoDefTaxAllocation,Status,R,bool,Status,12623
EtrTypeEtrStatus,EtrComputation,O,EtrComputationType,ETRComputation,9110
EtrTypeEtrStatus,EtrException,O,EtrTypeEtrStatusEtrException,ETRException,9107
EtrTypeEtrStatusEtrException,DeminimisSimplifiedNmceCalc,O,EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalc,Deminimis-SimplifiedNMCECalc,9122
EtrTypeEtrStatusEtrException,TransitionalCbCrSafeHarbour,O,EtrTypeEtrStatusEtrExceptionTransitionalCbCrSafeHarbour,TransitionalCbCRSafeHarbour,9125
EtrTypeEtrStatusEtrException,UtprSafeHarbour,O,EtrTypeEtrStatusEtrExceptionUtprSafeHarbour,UTPRSafeHarbour,9128
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalc,Average,R,EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalcAverage,Average,9170
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalc,Basis,R,DeminimisSimpleBasisEnumType,Basis,9141
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalc,FinancialData,R,System.Collections.ObjectModel.Collection<EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalcFinancialData>,FinancialData,9148
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalcAverage,Fanil,R,string,FANIL,9222
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalcAverage,GlobeRevenue,R,string,GlobeRevenue,9214
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalcAverage,NetGlobeIncome,R,string,NetGlobeIncome,9218
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalcAverage,Revenue,O,string,Revenue,9210
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalcFinancialData,Fanil,R,string,FANIL,9198
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalcFinancialData,GlobeRevenue,R,string,GlobeRevenue,9190
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalcFinancialData,NetGlobeIncome,R,string,NetGlobeIncome,9194
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalcFinancialData,Revenue,O,string,Revenue,9186
EtrTypeEtrStatusEtrExceptionDeminimisSimplifiedNmceCalcFinancialData,Year,R,System.DateTime,Year,9183
EtrTypeEtrStatusEtrExceptionTransitionalCbCrSafeHarbour,IncomeTax,O,string,IncomeTax,9241
EtrTypeEtrStatusEtrExceptionTransitionalCbCrSafeHarbour,Profit,R,string,Profit,9238
EtrTypeEtrStatusEtrExceptionTransitionalCbCrSafeHarbour,Revenue,O,string,Revenue,9234
EtrTypeEtrStatusEtrExceptionUtprSafeHarbour,CitRate,R,decimal,CITRate,9262
EtrTypeSubGroup,Tin,R,TinType,TIN,9066
EtrTypeSubGroup,TypeofSubGroup,R,System.Collections.ObjectModel.Collection<EtrTypeofSubGroupEnumType>,TypeofSubGroup,9077
ExcludedUpeIdType,GlobeStatus,R,System.Collections.ObjectModel.Collection<IdTypeGloBeStatusEnumType>,GlobeStatus,7782
ExcludedUpeIdType,KName,O,string,KName,7683
ExcludedUpeIdType,Name,R,string,Name,7673
ExcludedUpeIdType,ResCountryCode,O,System.Collections.ObjectModel.Collection<Globe.CountryCodeType>,ResCountryCode,7689
ExcludedUpeIdType,ResCountryCodeSpecified,O,bool,,7705
ExcludedUpeIdType,Rules,O,System.Collections.ObjectModel.Collection<IdTypeRulesEnumType>,Rules,7749
ExcludedUpeIdType,RulesSpecified,O,bool,,7765
ExcludedUpeIdType,Tin,R,System.Collections.ObjectModel.Collection<TinType>,TIN,7729
FilingInfo,AccountingInfo,R,FilingInfoAccountingInfo,AccountingInfo,7296
FilingInfo,AdditionalInfo,O,string,AdditionalInfo,7331
FilingInfo,FilingCe,R,FilingInfoFilingCe,FilingCE,7292
FilingInfo,KNameMne,O,string,KNameMNE,7321
FilingInfo,NameMne,R,string,NameMNE,7311
FilingInfo,Period,R,FilingInfoPeriod,Period,7300
FilingInfoAccountingInfo,CfSofUpe,R,FilingCeCofUpeEnumType,CFSofUPE,7394
FilingInfoAccountingInfo,Currency,R,Globe.CurrCodeType,Currency,7409
FilingInfoAccountingInfo,Fas,R,string,FAS,7405
FilingInfoFilingCe,KName,O,string,KName,7365
FilingInfoFilingCe,Name,R,string,Name,7355
FilingInfoFilingCe,ResCountryCode,R,Globe.CountryCodeType,ResCountryCode,7344
FilingInfoFilingCe,Role,R,FilingCeRoleEnumType,Role,7377
FilingInfoFilingCe,Tin,R,TinType,TIN,7369
FilingInfoPeriod,End,R,System.DateTime,End,7426
FilingInfoPeriod,Start,R,System.DateTime,Start,7422
GeneralSectionType,AdditionalDataPoint,O,System.Collections.ObjectModel.Collection<AdditionalDataPointType>,AdditionalDataPoint,7485
GeneralSectionType,AdditionalDataPointSpecified,O,bool,,7501
GeneralSectionType,CorporateStructure,R,CorporateStructureType,CorporateStructure,7479
GeneralSectionType,RecJurCode,R,System.Collections.ObjectModel.Collection<Globe.CountryCodeType>,RecJurCode,7456
GlobeBodyType,FilingInfo,R,GlobeBodyTypeFilingInfo,FilingInfo,7168
GlobeBodyType,GeneralSection,O,GlobeBodyTypeGeneralSection,GeneralSection,7171
GlobeBodyType,JurisdictionSection,O,System.Collections.ObjectModel.Collection<GlobeBodyTypeJurisdictionSection>,JurisdictionSection,7215
GlobeBodyType,JurisdictionSectionSpecified,O,bool,,7231
GlobeBodyType,Summary,O,System.Collections.ObjectModel.Collection<GlobeBodyTypeSummary>,Summary,7177
GlobeBodyType,SummarySpecified,O,bool,,7193
GlobeBodyType,UtprAttribution,O,System.Collections.ObjectModel.Collection<GlobeBodyTypeUtprAttribution>,UTPRAttribution,7243
GlobeBodyType,UtprAttributionSpecified,O,bool,,7259
GlobeBodyTypeFilingInfo,DocSpec,R,Globe.DocSpecType,DocSpec,7278
GlobeBodyTypeGeneralSection,DocSpec,R,Globe.DocSpecType,DocSpec,7439
GlobeBodyTypeJurisdictionSection,DocSpec,R,Globe.DocSpecType,DocSpec,8684
GlobeBodyTypeSummary,DocSpec,R,Globe.DocSpecType,DocSpec,8359
GlobeBodyTypeUtprAttribution,DocSpec,R,Globe.DocSpecType,DocSpec,13069
GlobeOecd,GlobeBody,R,GlobeBodyType,GLOBEBody,13216
GlobeOecd,MessageSpec,R,MessageSpecType,MessageSpec,13212
GlobeOecd,Version,O,string,version,13228
GlobeTax,Etr,O,System.Collections.ObjectModel.Collection<EtrType>,ETR,9001
GlobeTax,EtrSpecified,O,bool,,9017
GlobeTax,InitialIntActivity,O,InitialIntActivityType,InitialIntActivity,9034
IdType,GlobeStatus,R,System.Collections.ObjectModel.Collection<IdTypeGloBeStatusEnumType>,GlobeStatus,7921
IdType,KName,O,string,KName,7844
IdType,Name,R,string,Name,7834
IdType,ResCountryCode,R,System.Collections.ObjectModel.Collection<Globe.CountryCodeType>,ResCountryCode,7851
IdType,Rules,R,System.Collections.ObjectModel.Collection<IdTypeRulesEnumType>,Rules,7900
IdType,Tin,R,System.Collections.ObjectModel.Collection<TinType>,TIN,7879
InitialIntActivityType,OtherJurisdiction,R,System.Collections.ObjectModel.Collection<InitialIntActivityTypeOtherJurisdiction>,OtherJurisdiction,12737
InitialIntActivityType,ReferenceJurisdiction,R,InitialIntActivityTypeReferenceJurisdiction,ReferenceJurisdiction,12730
InitialIntActivityType,RfyNumberOfJurisdictions,O,string,RFYNumberOfJurisdictions,12758
InitialIntActivityType,RfySumTangibleAssetValue,O,string,RFYSumTangibleAssetValue,12761
InitialIntActivityType,StartDate,R,System.DateTime,StartDate,12726
InitialIntActivityTypeOtherJurisdiction,ResCountryCode,R,System.Collections.ObjectModel.Collection<Globe.CountryCodeType>,ResCountryCode,12794
InitialIntActivityTypeOtherJurisdiction,TangibleAssetValue,R,string,TangibleAssetValue,12816
InitialIntActivityTypeReferenceJurisdiction,ResCountryCode,R,Globe.CountryCodeType,ResCountryCode,12774
InitialIntActivityTypeReferenceJurisdiction,TangibleAssetValue,R,string,TangibleAssetValue,12778
JurisdictionSectionType,AdditionalDataPoint,O,System.Collections.ObjectModel.Collection<AdditionalDataPointType>,AdditionalDataPoint,8775
JurisdictionSectionType,AdditionalDataPointSpecified,O,bool,,8791
JurisdictionSectionType,GLoBeTax,R,GlobeTax,GLoBETax,8766
JurisdictionSectionType,Jurisdiction,R,Globe.CountryCodeType,Jurisdiction,8725
JurisdictionSectionType,JurWithTaxingRights,O,System.Collections.ObjectModel.Collection<JurisdictionSectionTypeJurWithTaxingRights>,JurWithTaxingRights,8731
JurisdictionSectionType,JurWithTaxingRightsSpecified,O,bool,,8747
JurisdictionSectionType,LocalCurrency,O,Globe.CurrCodeType,LocalCurrency,8756
JurisdictionSectionType,LocalCurrencySpecified,O,bool,,8762
JurisdictionSectionType,LowTaxJurisdiction,O,LowTaxJurisdictionType,LowTaxJurisdiction,8769
JurisdictionSectionType,RecJurCode,R,System.Collections.ObjectModel.Collection<Globe.CountryCodeType>,RecJurCode,8701
JurisdictionSectionTypeJurWithTaxingRights,JurisdictionName,R,Globe.CountryCodeType,JurisdictionName,8810
JurisdictionSectionTypeJurWithTaxingRights,ReportDifference,O,JurisdictionSectionTypeJurWithTaxingRightsReportDifference,ReportDifference,8849
JurisdictionSectionTypeJurWithTaxingRights,Subgroup,O,System.Collections.ObjectModel.Collection<JurisdictionSectionTypeJurWithTaxingRightsSubgroup>,Subgroup,8816
JurisdictionSectionTypeJurWithTaxingRights,SubgroupSpecified,O,bool,,8832
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,AddCurrentTuTDifference,O,string,AddCurrentTuTDifference,8927
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,AdjCoveredTaxDifference,O,JurisdictionSectionTypeJurWithTaxingRightsReportDifferenceAdjCoveredTaxDifference,AdjCoveredTaxDifference,8918
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,ElectionsDifference,O,string,ElectionsDifference,8940
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,EtrDifference,O,decimal,ETRDifference,8909
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,EtrDifferenceSpecified,O,bool,,8915
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,ExcessNegTaxCarryForw,O,string,ExcessNegTaxCarryForw,8956
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,KElectionsDifference,O,string,KElectionsDifference,8950
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,NetGLoBeDifference,O,string,NetGLoBEDifference,8921
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,QrtcIncome,O,string,QRTCIncome,8953
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,SbieDifference,O,string,SBIEDifference,8924
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,TransitionDifference,O,bool,TransitionDifference,8959
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,TransitionDifferenceSpecified,O,bool,,8965
JurisdictionSectionTypeJurWithTaxingRightsReportDifference,TuTDifference,O,string,TuTDifference,8930
JurisdictionSectionTypeJurWithTaxingRightsReportDifferenceAdjCoveredTaxDifference,AggCurrentTaxExpense,O,string,AggCurrentTaxExpense,8977
JurisdictionSectionTypeJurWithTaxingRightsReportDifferenceAdjCoveredTaxDifference,DeferTaxExpense,O,string,DeferTaxExpense,8986
JurisdictionSectionTypeJurWithTaxingRightsReportDifferenceAdjCoveredTaxDifference,OtherTaxCredits,O,string,OtherTaxCredits,8983
JurisdictionSectionTypeJurWithTaxingRightsReportDifferenceAdjCoveredTaxDifference,QrtcExpense,O,string,QRTCExpense,8980
JurisdictionSectionTypeJurWithTaxingRightsSubgroup,Tin,R,TinType,TIN,8862
JurisdictionSectionTypeJurWithTaxingRightsSubgroup,TypeofSubGroup,R,System.Collections.ObjectModel.Collection<TypeofSubGroupEnumType>,TypeofSubGroup,8873
LowTaxJurisdictionType,Ltce,O,System.Collections.ObjectModel.Collection<LowTaxJurisdictionTypeLtce>,LTCE,12835
LowTaxJurisdictionType,LtceSpecified,O,bool,,12851
LowTaxJurisdictionType,TopUpTaxAmount,R,string,TopUpTaxAmount,12829
LowTaxJurisdictionType,Utpr,O,LowTaxJurisdictionTypeUtpr,UTPR,12868
LowTaxJurisdictionTypeLtce,Iir,R,System.Collections.ObjectModel.Collection<LowTaxJurisdictionTypeLtceIir>,IIR,12888
LowTaxJurisdictionTypeLtce,Tin,R,TinType,TIN,12881
LowTaxJurisdictionTypeLtceIir,NetGlobeIncome,O,string,NetGlobeIncome,12918
LowTaxJurisdictionTypeLtceIir,ParentEntity,O,System.Collections.ObjectModel.Collection<LowTaxJurisdictionTypeLtceIirParentEntity>,ParentEntity,12928
LowTaxJurisdictionTypeLtceIir,ParentEntitySpecified,O,bool,,12944
LowTaxJurisdictionTypeLtceIir,TopUpTax,R,string,TopUpTax,12922
LowTaxJurisdictionTypeLtceIirParentEntity,IirOffSet,R,string,IIROffSet,12999
LowTaxJurisdictionTypeLtceIirParentEntity,InclusionRatio,R,decimal,InclusionRatio,12991
LowTaxJurisdictionTypeLtceIirParentEntity,OtherOwnershipAllocation,R,string,OtherOwnershipAllocation,12979
LowTaxJurisdictionTypeLtceIirParentEntity,ResCountryCode,R,Globe.CountryCodeType,ResCountryCode,12975
LowTaxJurisdictionTypeLtceIirParentEntity,Tin,R,TinType,TIN,12971
LowTaxJurisdictionTypeLtceIirParentEntity,TopUpTax,R,string,TopUpTax,13003
LowTaxJurisdictionTypeLtceIirParentEntity,TopUpTaxShare,R,string,TopUpTaxShare,12995
LowTaxJurisdictionTypeUtpr,UtprCalculation,O,LowTaxJurisdictionTypeUtprUtprCalculation,UTPRCalculation,13018
LowTaxJurisdictionTypeUtpr,UtprSafeHarbour,O,LowTaxJurisdictionTypeUtprUtprSafeHarbour,UTPRSafeHarbour,13015
LowTaxJurisdictionTypeUtprUtprCalculation,Article251TopUpTax,R,string,Article2.5.1TopUpTax,13056
LowTaxJurisdictionTypeUtprUtprCalculation,TotalUtprTopUpTax,R,string,TotalUTPRTopUpTax,13052
LowTaxJurisdictionTypeUtprUtprSafeHarbour,CitRate,R,decimal,CITRate,13039
MessageSpecType,Contact,O,string,Contact,7086
MessageSpecType,MessageRefId,R,string,MessageRefId,7097
MessageSpecType,MessageType,R,MessageTypeEnumType,MessageType,7066
MessageSpecType,MessageTypeIndic,R,MessageTypeIndicEnumType,MessageTypeIndic,7101
MessageSpecType,ReceivingCountry,R,Globe.CountryCodeType,ReceivingCountry,7062
MessageSpecType,ReportingPeriod,R,System.DateTime,ReportingPeriod,7105
MessageSpecType,SendingEntityIn,O,string,SendingEntityIN,7054
MessageSpecType,Timestamp,R,System.DateTime,Timestamp,7109
MessageSpecType,TransmittingCountry,R,Globe.CountryCodeType,TransmittingCountry,7058
MessageSpecType,Warning,O,string,Warning,7076
SummaryType,AdditionalDataPoint,O,System.Collections.ObjectModel.Collection<AdditionalDataPointType>,AdditionalDataPoint,8509
SummaryType,AdditionalDataPointSpecified,O,bool,,8525
SummaryType,EtrRange,O,EtrRangeEnumType,ETRRange,8468
SummaryType,EtrRangeSpecified,O,bool,,8474
SummaryType,GLoBeTut,O,GlobeTuTEnumType,GLoBETut,8497
SummaryType,GLoBeTutSpecified,O,bool,,8503
SummaryType,Jurisdiction,R,SummaryTypeJurisdiction,Jurisdiction,8401
SummaryType,JurWithTaxingRights,O,System.Collections.ObjectModel.Collection<SummaryTypeJurWithTaxingRights>,JurWithTaxingRights,8407
SummaryType,JurWithTaxingRightsSpecified,O,bool,,8423
SummaryType,QdmtTut,O,QdmtTuTEnumType,QDMTTut,8484
SummaryType,QdmtTutSpecified,O,bool,,8490
SummaryType,RecJurCode,R,System.Collections.ObjectModel.Collection<Globe.CountryCodeType>,RecJurCode,8376
SummaryType,SafeHarbour,O,System.Collections.ObjectModel.Collection<SafeHarbourEnumType>,SafeHarbour,8439
SummaryType,SafeHarbourSpecified,O,bool,,8455
SummaryType,Sbie,O,SummaryTypeSbie,SBIE,8477
SummaryTypeJurisdiction,JurisdictionName,O,Globe.CountryCodeType,JurisdictionName,8543
SummaryTypeJurisdiction,JurisdictionNameSpecified,O,bool,,8549
SummaryTypeJurisdiction,Subgroup,O,System.Collections.ObjectModel.Collection<SummaryTypeJurisdictionSubgroup>,Subgroup,8555
SummaryTypeJurisdiction,SubgroupSpecified,O,bool,,8571
SummaryTypeJurisdictionSubgroup,Tin,R,TinType,TIN,8598
SummaryTypeJurisdictionSubgroup,TypeofSubGroup,R,System.Collections.ObjectModel.Collection<TypeofSubGroupEnumType>,TypeofSubGroup,8609
SummaryTypeJurWithTaxingRights,DiffDomesticTut,O,GlobeTuTEnumType,DiffDomesticTut,8648
SummaryTypeJurWithTaxingRights,DiffDomesticTutSpecified,O,bool,,8654
SummaryTypeJurWithTaxingRights,JurisdictionName,O,Globe.CountryCodeType,JurisdictionName,8639
SummaryTypeJurWithTaxingRights,JurisdictionNameSpecified,O,bool,,8645
SummaryTypeSbie,NotApplicable,R,bool,NotApplicable,8667
SummaryTypeSbie,NoTut,R,bool,NoTut,8671
TinType,IssuedBy,O,Globe.CountryCodeType,issuedBy,7131
TinType,IssuedBySpecified,O,bool,,7137
TinType,TypeOfTin,O,TinEnumType,TypeOfTIN,7149
TinType,TypeOfTinSpecified,O,bool,,7155
TinType,Unknown,O,bool,unknown,7140
TinType,UnknownSpecified,O,bool,,7146
TinType,Value,O,string,,7128
UtprAttributionType,AdditionalDataPoint,O,System.Collections.ObjectModel.Collection<AdditionalDataPointType>,AdditionalDataPoint,13129
UtprAttributionType,AdditionalDataPointSpecified,O,bool,,13145
UtprAttributionType,Attribution,R,System.Collections.ObjectModel.Collection<UtprAttributionTypeAttribution>,Attribution,13113
UtprAttributionType,RecJurCode,R,System.Collections.ObjectModel.Collection<Globe.CountryCodeType>,RecJurCode,13086
UtprAttributionTypeAttribution,AddCashTaxExpense,R,string,AddCashTaxExpense,13194
UtprAttributionTypeAttribution,Employees,O,string,Employees,13171
UtprAttributionTypeAttribution,ResCountryCode,R,Globe.CountryCodeType,ResCountryCode,13164
UtprAttributionTypeAttribution,TangibleAssetValue,O,string,TangibleAssetValue,13174
UtprAttributionTypeAttribution,UtprPercentage,R,decimal,UTPRPercentage,13186
UtprAttributionTypeAttribution,UtprTopUpTaxAttributed,R,string,UTPRTopUpTaxAttributed,13190
UtprAttributionTypeAttribution,UtprTopUpTaxCarriedForward,R,string,UTPRTopUpTaxCarriedForward,13198
UtprAttributionTypeAttribution,UtprTopUpTaxCarryForward,R,string,UTPRTopUpTaxCarryForward,13168
